-4.7251823289212815 0.15729735940791167 -0.15263140690233445 4.718168206613707		-15.011603871324787 -0.15729735940790812 0.152631406902338 15.009355228549456		-19.728016841336366 -5.773159728050814e-15 3.552713678800501e-15 -19.727523435163143
-4.845644515919602 0.16199931670851997 0.012998051795682475 4.8410391484367805		-23.638946448429294 -0.16199931670852008 -0.012998051795683807 23.637975989001195		-28.479356924017196 1.1102230246251565e-14 7.638334409421077e-14 -28.479015137438047
-10.97789679236844 -0.19686900890284376 0.2725113332335187 10.97191870825177		-4.421639248837941 0.19686900890284398 -0.2725113332335194 4.406632070676702		-15.379183712642945 2.3092638912203256e-14 -2.042810365310288e-14 -15.378550778928474
-8.805834336307576 -0.0729997886096867 0.13731357964894864 8.803427534784419		-29.264736911945008 0.0729997886096907 -0.13731357964894908 29.263991097079064		-38.06767433007546 2.842170943040401e-14 1.1102230246251565e-14 -38.06741863186347
-26.67761655277298 0.3548020019488023 -0.07375258363162018 26.674814020394024		-16.9323914646581 -0.35480200194880496 0.07375258363161663 16.9279381261011		-43.602975384207724 -5.329070518200751e-15 1.7763568394002505e-14 -43.602752146495106
-12.193451748956655 0.19385688140066493 0.057623523642490904 12.191028118382409		-35.96545053207874 -0.1938568814006567 -0.057623523642498675 35.96461126450999		-48.15579441099064 4.618527782440651e-14 -3.8191672047105385e-14 -48.155639382892424
-9.313557469724884 -0.325467834003752 0.01480049228537128 9.306879518201853		-19.123021744961022 0.3254678340037529 -0.014800492285371725 19.120247318550064		-28.427469247189784 1.2434497875801753e-14 -5.773159728050814e-15 -28.427126836751896
-24.476009230642866 -0.23222869248038602 -0.17124560078690498 24.473936639354015		-15.03918683666703 0.23222869248039357 0.17124560078690432 15.035771276513834		-39.509903149242305 -7.105427357601002e-15 -8.881784197001252e-16 -39.50970791586786
-27.31103011839687 0.33948710056304954 -0.05892369542190595 27.30852329630173		-12.896331680908503 -0.3394871005630504 0.05892369542190609 12.890972799736012		-40.19973865663118 4.618527782440651e-14 1.6653345369377348e-15 -40.19949609603775
-2.8465809999052176 -0.23140217216157033 -0.22002745205569701 2.8253966684488834		-19.18547945705066 0.231402172161566 0.22002745205569688 19.182314650344786		-22.008153604936993 5.062616992290714e-14 3.430589146091734e-14 -22.007711318793692
